"Bill Of Material For Smart Field Generator8 with FPGA.PCB"
"On 21-Jan-2005 at 13:47:40"

"Comment","Pattern","Quantity","Components"


".1uF","0603","17","C1 C2 C3 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29"
,,,"C30"
"0 Ohm","0603","1","R19"
"0.1 uF","0603","9","C4 C5 C8 C9 C10 C11 C12 C13 C14"
"10","0603","2","R21 R42"
"10 K","0603","8","R1 R5 R6 R7 R8 R9 R43 R44"
"100","0603","4","R20 R24 R25 R36"
"100 nH","0603","3","L1 L3 L5"
"100 pF","0603","2","C15 C16"
"10K","0603","7","R2 R3 R4 R11 R16 R17 R18"
"150","0603","1","R12"
"16.0 MHz","SMT OSCILLATOR","1","U6"
"1N4148","SOD123","1","D7"
"22uF","CAP A CASE","1","C31"
"2N3904","SOT23 TRANS","1","Q1"
"2X5 HEADER","2X5 HEADER","1","J1"
"330","0603","4","R13 R14 R15 R45"
"4.7 uF 16V","CAP A CASE","2","C6 C7"
"47 pF","0603","6","C43 C45 C46 C47 C50 C51"
"6.8 K","0603","1","R10"
"ALTERA EP1C3T100","TQFP100","1","U8"
"BRIDGE 100V 0.5A","BRIDGE","1","U1"
"CON5","1X5 HEADER","2","J4 J5"
"EPCS1SI8/M25P40","SO8","1","U7"
"FB","0603","2","FB3 FB5"
"GREEN LED","LED TH","2","D5 D6"
"HDR10","1X10 HEADER","1","J10"
"MAX202","SO16","1","U3"
"NCP1086-33T3","SOT223 REG","1","U10"
"NCP1117","SOT223 REG","1","U2"
"PIC16F870","SSOP28","1","U5"
"PIC16F876A","SSOP28","1","U4"
"POWER CONNECTOR","JACK POWER VPJ-002A-SMT","1","J2"
"RED LED","LED TH","1","D4"
"RJ11","RJ11","1","J3"
"TP","TEST POINT PAD 3","20","J6 J7 J8 J9 TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11"
,,,"TP12 TP13 TP14 TP16 TP17"
"TPS73615DCQ","SOT223-5","1","U9"
"TRANZORB","140 DIODE","1","D1"
"YELLOW LED","LED TH","1","D3"
