"Bill Of Material For Handheld Reader Digital6.PCB"
"On 9-Jun-2005  at 10:30:12"

"Comment","Pattern","Quantity","Components"


"0 ohm","0603","1","R204"
"0.1uF","0603","9","C1 C2 C3 C4 C5 C6 C7 C8 C9"
"10","0603","2","R22 R23"
"100","0603","5","R13 R14 R15 R16 R17"
"100pF","0603","1","C21"
"10K","0603","11","R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R32"
"10uF","CAP A CASE","1","C25"
"120","0603","1","R18"
"13.3K","0603","1","R31"
"150","0603","1","R26"
"180","0603","1","R19"
"1K","0603","3","R200 R203 R205"
"1X3 HEADER","1X3 HEADER","1","J7"
"1X3 HEADER","1X3 HEADER TEST PADS","3","J1 J2 J3"
"2.2uH","COIL BOURNS SDR7030-330M","1","L2"
"2N3904","SOT23 TRANS","2","Q1 Q2"
"2N7002","SOT23 FET","2","Q200 Q201"
"3.9K","0603","1","R202"
"330","0603","1","R11"
"3K","0603","1","R201"
"4.7uF","CAP A CASE","1","C24"
"40 PIN RIBBON","40 PIN RIBBON CONN","1","J6"
"40.2K","0603","1","R30"
"47pF","0603","7","C10 C11 C12 C13 C14 C15 C16"
"6.8K","0603","2","R20 R21"
"AWI501C","SSOP28","1","U1"
"AWI501D","SSOP28","1","U2"
"AWI501E","SSOP28","1","U3"
"BLED","SOD123 DIODE","1","D2"
"CON10","1X10 HEADER","1","J5"
"CRY-16-MHZ","SMT OSCILLATOR","1","U6"
"FB 0603","0603","1","FB1"
"GLED","SOD123 DIODE","1","D3"
"MAX202CSE","TSSOP16","1","U4"
"MBR0520","SOD123","1","D5"
"REG LINEAR LT1930","SOT23-5A","1","U7"
"RLED","SOD123 DIODE","1","D1"
"TLV1391","SOT25","1","U200"
"TP","TEST POINT PAD 5","25","TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13 TP14"
,,,"TP15 TP16 TP17 TP18 TP19 TP20 TP21 TP22 TP23 TP24 TP25"
