"Part Type","Designator","Footprint"
".1uF","C22","0603"
".1uF","C13","0603"
".1uF","C5","0603"
".1uF","C50","0603"
".1uF","C4","0603"
".1uF","C18","0603"
".001uF","C41","0603"
".1uF","C48","0603"
".1uF","C26","0603"
".1uF","C51","0603"
".1uF","C8","0603"
".1uF","C2","0603"
".1uF","C14","0603"
".1uF","C7","0603"
".1uF","C17","0603"
".5 pF","C20","0603"
".0027uF","C54","0603"
".033uF","C55","0805"
"0.1UF","C305","0603"
"0.1UF","C304","0603"
"0.1UF","C303","0603"
"0.1UF","C301","0603"
"0.1UF","C302","0603"
"0.1uF","C109","0603"
"0.1uF","C104","0603"
"0.1uF","C105","0603"
"0.001uF","C16","0603"
"0.1uF","C103","0603"
"0.1uF","C106","0603"
"0.1uF","C108","0603"
"0.1uF","C101","0603"
"0.1uF","C107","0603"
"0.1uF","C102","0603"
"0.18uH","L14","0603"
"0.22","C15","0603"
"0.25pF - .7pF","C56","CAP TRIMMER JOHANSON"
"0 Ohm","R52","0603"
"0 ohm","R204","0603"
"1K","R8","0603"
"1K","R18","0603"
"1K","R37","0603"
"1K","R26","0603"
"1K","R48","0603"
"1M","R302","0603"
"1N914","D1","SOT23 DIODE"
"1X3 HEADER","J102","1X3 HEADER"
"1X3 HEADER","J101","1X3 HEADER"
"1X3 HEADER","J107","1X3 HEADER"
"1X3 HEADER","J103","1X3 HEADER"
"1uF","C25","CAP A CASE"
"2.2K","R21","0603"
"2.2K","R46","0603"
"2.2 mH","L4","COIL TKS5540CT-ND"
"2.2uH","L102","COIL BOURNS SDR7030-330M"
"2N3904","Q10","SOT23 TRANS"
"2N3904","Q101","SOT23 TRANS"
"2N3904","Q102","SOT23 TRANS"
"2N3904","Q7","SOT23 TRANS"
"2N3904","Q8","SOT23 TRANS"
"2N3904","Q3","SOT23 TRANS"
"2N3906","Q2","SOT23 TRANS"
"2N3906","Q11","SOT23 TRANS"
"2 pF","C33","0603"
"3.3K","R25","0603"
"3 pF","C43","0603"
"3 pF","C30","0603"
"4.7K","R14","0603"
"4.7K","R22","0603"
"4.7K","R40","0603"
"4.7K","R19","0603"
"4.7K","R42","0603"
"4.7K","R35","0603"
"4.7K","R51","0603"
"4.7nH","L1","0603"
"4.7uF","C124","CAP A CASE"
"4pF","C23","0603"
"5K POT","R11","POT PANA EVN5"
"5 pF","C31","0603"
"5pF","C9","0603"
"5 pF","C3","0603"
"6.8K","R23","0603"
"6.8K","R13","0603"
"6.8K","R121","0603"
"6.8K","R34","0603"
"6.8K","R120","0603"
"6.8 nH","L15","0603"
"6.8 uH","L3","0805"
"6 pF","C46","0603"
"7 PF","C35","0603"
"10","R16","0603"
"10","R122","0603"
"10","R123","0603"
"10.7 Mhz Filter","Y2","FILTER2"
"10.7 Mhz Filter","Y1","FILTER2"
"10K","R110","0603"
"10K","R108","0603"
"10K","R44","0603"
"10K","R107","0603"
"10K","R38","0603"
"10K","R132","0603"
"10K","R49","0603"
"10K","R12","0603"
"10K","R106","0603"
"10K","R103","0603"
"10K","R109","0603"
"10K","R101","0603"
"10K","R102","0603"
"10K","R41","0603"
"10K","R104","0603"
"10K","R105","0603"
"10 pF","C45","0603"
"10uF","C53","CAP A CASE"
"10uF","C10","CAP A CASE"
"10uF","C12","CAP A CASE"
"10uF","C52","CAP A CASE"
"10uF","C125","CAP A CASE"
"13.3K","R131","0603"
"14.7456MHz","Y301","SMT CRYSTAL"
"15K","R47","0603"
"18 nH","L2","0603"
"22","R43","0603"
"22","R33","0603"
"22","R20","0603"
"22","R3","0603"
"22 nH","L9","0603"
"22nH","L12","0603"
"27 pF","C1","0603"
"33pF","CL302","0603"
"33pF","CL301","0603"
"33 pF","C11","0603"
"33 pF","C42","0603"
"33 pF","C19","0603"
"39K","R36","0603"
"39K","R15","0603"
"40.2K","R130","0603"
"47 nH","L10","0603"
"47 pF","C28","0603"
"47pF","C116","0603"
"47pF","C115","0603"
"47 pF","C29","0603"
"47 pF","C37","0603"
"47pF","C114","0603"
"47pF","C111","0603"
"47 pF","C40","0603"
"47pF","C112","0603"
"47 pF","C38","0603"
"47pF","C113","0603"
"47pF","C110","0603"
"47 pF","C39","0603"
"56","R1","0603"
"56K","R50","0603"
"68","R30","0603"
"68","R39","0603"
"100","R115","0603"
"100","R113","0603"
"100","R114","0603"
"100","R117","0603"
"100","R116","0603"
"100K","R306","0603"
"100K","R10","0603"
"100K","R303","0603"
"100K","R31","0603"
"100K","R305","0603"
"100K","R304","0603"
