"Part Type","Designator","Footprint","Description"
".1uF","C17","0603","Capacitor"
".1uF","C15","0603","Capacitor"
".1uF","C16","0603","Capacitor"
".1uF","C61","0603","Capacitor"
".1uF","C74","0603","Capacitor"
".1uF","C75","0603","Capacitor"
".1uF","C1","0603","Capacitor"
".1uF","C7","0603","Capacitor"
".1uF","C6","0603","Capacitor"
".1uF","C10","0603","Capacitor"
".1uF","C9","0603","Capacitor"
".1uF","C2","0603","Capacitor"
".1uF","C70","0603","Capacitor"
".1uF","C69","0603","Capacitor"
".1uF","C68","0603","Capacitor"
".1uF","C73","0603","Capacitor"
".1uF","C72","0603","Capacitor"
".1uF","C71","0603","Capacitor"
".1uF","C64","0603","Capacitor"
".1uF","C63","0603","Capacitor"
".1uF","C62","0603","Capacitor"
".1uF","C67","0603","Capacitor"
".1uF","C66","0603","Capacitor"
".1uF","C65","0603","Capacitor"
"0.1","C55","0805",""
"0.1","C53","0805",""
"0.1","C52","0805",""
"0.1","C56","0805",""
"0.1","C54","0805",""
"0.1uF","C34","0603",""
"0.1uF","C33","0603",""
"0.1uF","C42","0603",""
"0.1uF","C3","0603",""
"0.1uF","C32","0603",""
"0.1uF","C4","0603",""
"0.1uF","C5","0603",""
"0.1uF","C21","0603",""
"0.1uF","C22","0603",""
"0.1uF","C37","0603",""
"0.1uF","C30","0603",""
"0.1uF","C39","0603",""
"0 Ohm","R69","0603",""
"1.2K","R1","0603",""
"1.5K","R54","0805",""
"1.5K","R51","0805",""
"1K","R59","0805",""
"1K","R60","0805",""
"1K","R61","0805",""
"1K","R58","0805",""
"1N4148","D3","SOD123","Diode"
"1N4148","D2","SOD123","Diode"
"1X5 HEADER","J8","1X5 HEADER",""
"1X10 HEADER","J10","1X10 HEADER",""
"2N3904","Q4","SOT23 TRANS",""
"2N3904","Q6","SOT23 TRANS",""
"2X3 HEADER","J1","2X3 HEADER",""
"2X5 HEADER","J15","2X5 HEADER",""
"6.8K","R32","0603",""
"6.8K","R33","0603",""
"10","R42","R0603",""
"10","R21","R-603",""
"10K","R30","0603",""
"10K","R19","0603",""
"10K","R38","0603",""
"10K","R39","0603",""
"10K","R7","0603",""
"10K","R66","0603",""
"10K","R65","0603",""
"10K","R63","0603",""
"10K","R62","0603",""
"10K","R64","0603",""
"10K","R68","0603",""
"10K","R40","0603",""
"10K","R26","0603",""
"10K","R17","0603",""
"10K","R18","0603",""
"10K","R67","0603",""
"10K","R4","0603",""
"10K","R47","0603",""
"10K","R37","0603",""
"10K","R49","0603",""
"10K","R45","0603",""
"10K","R48","0603",""
"10K","R31","0603",""
"10K","R46","0603",""
"10K","R55","0805",""
"10K","R50","0805",""
"10K","R53","0805",""
"10K","R52","0805",""
"10uF","C12","CAP A CASE","Capacitor"
"10uF","C11","CAP A CASE","Capacitor"
"15uH","L3","COIL COILTRONICS UP2B-150",""
"22uF","C8","CAP A CASE","Capacitor"
"33","R70","0603",""
"47pF","C45","C0603",""
"47pF","C46","C0603",""
"47pF","C40","C0603",""
"47pF","C43","C0603",""
"47pF","C51","C0603",""
"47pF","C50","C0603",""
"47pF","C47","C0603",""
"100","R56","0805",""
"100","R57","0805",""
"100","R25","R0603",""
"100","R36","R0603",""
"100","R24","R0603",""
"100","R20","R0603",""
"100","R16","R0603",""
"100 nH","L1","0603",""
"100 nH","L2","0603",""
"100pF","C19","0603","Capacitor"
"100pF","C36","0603",""
"100pF","C60","SM/C_0805",""
"100pF","C57","SM/C_0805",""
"100pF","C58","SM/C_0805",""
"100pF","C59","SM/C_0805",""
"100uF","C13","CAP D CASE","Capacitor"
"100uF","C14","CAP D CASE","Capacitor"
"120","R28","0603",""
"150","R15","0603",""
"180","R29","0603",""
"330","R34","0603",""
"330","R27","0603",""
"470","R2","0603",""
"820","R3","0603",""
"3300pF","C18","0603","Capacitor"
"74165","U10","SO16",""
"??","R6","0603",""
"??","R5","0603",""
"ALTERA EP1C3T100","U20","TQFP100",""
"AWI501C","U4","PIC16F870",""
"AWI501D","U3","SSOP-28",""
"AWI501E","U9","PIC16F870",""
"B230DICT-ND","D1","DIODE SMB","Schottky Diode"
"BLED","D9","LED TH",""
"BRIDGE 100V 0.5A","U12","BRIDGE","Diode Bridge"
"CRY-16-MHZ","U17","CRY-SMD-5-7",""
"DB9FL","J7","DB9FL",""
"EPCS1SI8/M25P40","U21","SO8",""
"FB","FB6","0603",""
"FB","FB7","0603",""
"FB","FB12","0603",""
"FB","FB8","0603",""
"FB","FB2","0603",""
"FB","FB9","0603",""
"FB","FB10","0603",""
"FB","FB11","0603",""
"FB","FB3","0603",""
"FB","FB14","0603",""
"FB","FB15","0603",""
"FB","FB17","0603",""
"FB","FB16","0603",""
"FB","FB13","0603",""
"FB","FB1","0603",""
"FB","FB4","0603",""
"FB","FB19","SM/R_1206",""
"FB","FB22","SM/R_1206",""
"FB","FB23","SM/R_1206",""
"FB","FB18","SM/R_1206",""
"FB","FB20","SM/R_1206",""
"FB","FB21","SM/R_1206",""
"GLED","D8","LED TH",""
"HDR5","J3","1X5 HEADER",""
"HDR5","J6","1X5 HEADER",""
"LM339","U1","SO14","Operational Amplifier"
"LM339A","U18","SO14",""
"LM339A","U19","SO14",""
"MAX202CSE","U7","SO16",""
"NCP1086-33T3","U2","SOT223 REG GOI",""
"NCP1117-ST50T3","U5","SOT223 REG",""
"NCP1117-ST50T3","U6","SOT223 REG",""
"NUD3112","Q1","SOT23",""
"NUD3112","Q2","SOT23",""
"OMR_G5V_2","K1","RELAY44",""
"OMR_G5V_2","K2","RELAY44",""
"P0300SARP","D5","TRANSORB_1",""
"PHOENIX 1937499","J2","CONN PHOENIX 1803227-2","Connector"
"PHOENIX 1937512","J11","CONN PHOENIX 1803293-4",""
"PHOENIX 1953415","J12","CONN PHOENIX 1953211-6","Connector"
"REG ONSEMI CS51414","U8","SO8",""
"RJ11","J5","RJ11","Connector"
"RLED","D10","LED TH",""
"RLED","D11","LED TH",""
"SWITCH 4 POS SPST","S1","SWITCH 4 POS SPST",""
"TP","TP8","TESTPOINT-1",""
"TP","TP9","TESTPOINT-1",""
"TP","TP11","TESTPOINT-1",""
"TP","TP12","TESTPOINT-1",""
