"Bill Of Material For Reader 103 RS-232 Rev5.PCB"
"On 7-Jun-2005  at 08:37:09"

"Comment","Pattern","Quantity","Components"


".1uF","0603","24","C1 C2 C6 C7 C9 C10 C15 C16 C17 C61 C62 C63 C64 C65 C66 C67"
,,,"C68 C69 C70 C71 C72 C73 C74 C75"
"0 Ohm","0603","1","R69"
"0.1","0603","5","C52 C53 C54 C55 C56"
"0.1uF","0603","12","C3 C4 C5 C21 C22 C30 C32 C33 C34 C37 C39 C42"
"1.2K","0603","1","R1"
"1.5K","0603","2","R51 R54"
"10","0603","2","R21 R42"
"100","0603","7","R16 R20 R24 R25 R36 R56 R57"
"100 nH","0603","2","L1 L2"
"100pF","0603","6","C19 C36 C57 C58 C59 C60"
"100uF","CAP D CASE","2","C13 C14"
"10K","0603","28","R4 R7 R17 R18 R19 R26 R30 R31 R37 R38 R39 R40 R45 R46 R47 R48"
,,,"R49 R50 R52 R53 R55 R62 R63 R64 R65 R66 R67 R68"
"10uF","CAP A CASE","2","C11 C12"
"120","0603","1","R28"
"150","0603","1","R15"
"15uH","COIL COILTRONICS UP2B-150","1","L3"
"180","0603","1","R29"
"1K","0603","4","R58 R59 R60 R61"
"1N4148","SOD123","2","D2 D3"
"1X10 HEADER","HDR_10","1","J10"
"1X5 HEADER","HDR5","1","J8"
"22uF","CAP A CASE","1","C8"
"2N3904","SOT-23","2","Q4 Q6"
"2X3 HEADER","HDR3X2","1","J1"
"2X5 HEADER","2X5 HEADER","1","J15"
"33","0603","1","R70"
"330","0603","2","R27 R34"
"3300pF","0603","1","C18"
"470","0603","1","R2"
"47pF","0603","7","C40 C43 C45 C46 C47 C50 C51"
"6.8K","0603","2","R32 R33"
"74165","SO16","1","U10"
"820","0603","1","R3"
"??","0603","2","R5 R6"
"ALTERA EP1C3T100","TQFP100","1","U20"
"AWI501C","PIC16F870","1","U4"
"AWI501D","SSOP-28","1","U3"
"AWI501E","PIC16F870","1","U9"
"B230DICT-ND","DIODE SMB","1","D1"
"BLED","LED TH","1","D9"
"BRIDGE 100V 0.5A","BRIDGE","1","U12"
"CRY-16-MHZ","CRY-SMD-5-7","1","U17"
"DB9FL","DB9FL","1","J7"
"EPCS1SI8/M25P40","SO8","1","U21"
"FB","0603","22","FB1 FB2 FB3 FB4 FB6 FB7 FB8 FB9 FB10 FB11 FB12 FB13 FB14 FB15"
,,,"FB16 FB17 FB18 FB19 FB20 FB21 FB22 FB23"
"GLED","LED TH","1","D8"
"HDR5","HDR5","2","J3 J6"
"LM339","SO14","1","U1"
"LM339A","SO14","2","U18 U19"
"MAX202CSE","SO-16","1","U7"
"NCP1086-33T3","SOT223 REG","1","U2"
"NCP1117-ST50T3","SOT223 REG","2","U5 U6"
"NUD3112","SOT23","2","Q1 Q2"
"OMR_G5V_2","RELAY44","2","K1 K2"
"P0300SARP","TRANSORB_1","1","D5"
"PHOENIX 1937499","CONN PHOENIX 1844210-2","1","J2"
"PHOENIX 1937512","CONN PHOENIX 1844236-4","1","J11"
"PHOENIX 1953415","CONN PHOENIX 1953211-6","1","J12"
"REG ONSEMI CS51414","SO8","1","U8"
"RJ11","RJ11","1","J5"
"RLED","LED TH","2","D10 D11"
"SWITCH 4 POS SPST","SWITCH 4 POS SPST","1","S1"
"TP","TEST POINT PAD 3","25","J16 J17 J18 J19 TP1 TP2 TP3 TP4 TP5 TP8 TP9 TP10 TP11 TP12"
,,,"TP13 TP14 TP15 TP19 TP20 TP22 TP23 TP24 TP25 TP26 TP27"
"TPS73615DCQ","SOT223-5","1","U22"
"XPORT RJ45","CONN XPORT","1","J4"
