"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J4","CONN_XPORT","3909.833mil","409.095mil","3793.833mil","584.095mil","3793.833mil","584.095mil","T","180.00","XPORT RJ45"
"TP27","TEST_POINT_PAD_3","3684.376mil","2112.3mil","3684.376mil","2112.3mil","3684.376mil","2112.3mil","T","180.00","TP"
"TP26","TEST_POINT_PAD_3","3579.376mil","2112.3mil","3579.376mil","2112.3mil","3579.376mil","2112.3mil","T","180.00","TP"
"TP25","TEST_POINT_PAD_3","3199.833mil","2102.3mil","3199.833mil","2102.3mil","3199.833mil","2102.3mil","T","180.00","TP"
"TP24","TEST_POINT_PAD_3","2979.833mil","2102.3mil","2979.833mil","2102.3mil","2979.833mil","2102.3mil","T","180.00","TP"
"TP23","TEST_POINT_PAD_3","9.833mil","829.8mil","9.833mil","829.8mil","9.833mil","829.8mil","T","0.00","TP"
"TP22","TEST_POINT_PAD_3","367.233mil","1204.882mil","367.233mil","1204.882mil","367.233mil","1204.882mil","T","180.00","TP"
"TP20","TEST_POINT_PAD_3","814.733mil","1424.882mil","814.733mil","1424.882mil","814.733mil","1424.882mil","T","0.00","TP"
"TP15","TEST_POINT_PAD_3","2489.833mil","547.3mil","2489.833mil","547.3mil","2489.833mil","547.3mil","T","0.00","TP"
"TP14","TEST_POINT_PAD_3","2041.833mil","1682.3mil","2041.833mil","1682.3mil","2041.833mil","1682.3mil","T","270.00","TP"
"TP13","TEST_POINT_PAD_3","454.733mil","992.382mil","454.733mil","992.382mil","454.733mil","992.382mil","T","360.00","TP"
"TP12","TEST_POINT_PAD_3","909.733mil","1424.882mil","909.733mil","1424.882mil","909.733mil","1424.882mil","T","0.00","TP"
"TP11","TEST_POINT_PAD_3","1859.833mil","959.8mil","1859.833mil","959.8mil","1859.833mil","959.8mil","T","0.00","TP"
"TP10","TEST_POINT_PAD_3","2161.833mil","1682.3mil","2161.833mil","1682.3mil","2161.833mil","1682.3mil","T","270.00","TP"
"TP9","TEST_POINT_PAD_3","2281.833mil","1682.3mil","2281.833mil","1682.3mil","2281.833mil","1682.3mil","T","270.00","TP"
"TP8","TEST_POINT_PAD_3","1653.833mil","947.3mil","1653.833mil","947.3mil","1653.833mil","947.3mil","T","0.00","TP"
"TP5","TEST_POINT_PAD_3","1894.833mil","1077.3mil","1894.833mil","1077.3mil","1894.833mil","1077.3mil","T","0.00","TP"
"TP4","TEST_POINT_PAD_3","1894.733mil","1352.382mil","1894.733mil","1352.382mil","1894.733mil","1352.382mil","T","0.00","TP"
"TP2","TEST_POINT_PAD_3","1894.733mil","1232.382mil","1894.733mil","1232.382mil","1894.733mil","1232.382mil","T","0.00","TP"
"TP1","TEST_POINT_PAD_3","469.833mil","1342.3mil","469.833mil","1342.3mil","469.833mil","1342.3mil","T","360.00","TP"
"J19","TEST_POINT_PAD_3","1047.333mil","1723.3mil","1047.333mil","1723.3mil","1047.333mil","1723.3mil","T","0.00","TP"
"J18","TEST_POINT_PAD_3","1147.333mil","1723.3mil","1147.333mil","1723.3mil","1147.333mil","1723.3mil","T","0.00","TP"
"J17","TEST_POINT_PAD_3","1222.333mil","1828.3mil","1222.333mil","1828.3mil","1222.333mil","1828.3mil","T","0.00","TP"
"J16","TEST_POINT_PAD_3","1222.333mil","1928.3mil","1222.333mil","1928.3mil","1222.333mil","1928.3mil","T","0.00","TP"
"S1","SWITCH_4_POS_SPST","735.333mil","437.3mil","572.833mil","512.3mil","572.833mil","512.3mil","T","360.00","SWITCH 4 POS SPST"
"D11","LED_TH","-474.167mil","212.3mil","-474.167mil","212.3mil","-474.167mil","162.3mil","T","270.00","RLED"
"D10","LED_TH","-475.167mil","2112.3mil","-475.167mil","2112.3mil","-475.167mil","2062.3mil","T","270.00","RLED"
"J5","RJ11","3985.833mil","1059.095mil","3810.833mil","934.095mil","3810.833mil","934.095mil","T","0.00","RJ11"
"U22","SOT223-5","209.833mil","1783.3mil","327.333mil","1783.3mil","327.333mil","1683.3mil","T","90.00","TPS73615DCQ"
"U8","SO8","1880.333mil","522.3mil","1805.333mil","412.3mil","1805.333mil","412.3mil","T","90.00","REG ONSEMI CS51414"
"J12","CONN_PHOENIX_1953211-6","4133.333mil","1677.095mil","4205.833mil","1677.095mil","4205.833mil","1542.095mil","T","90.00","PHOENIX 1953211"
"J11","CONN_PHOENIX_1844236-4","4256.833mil","2305.788mil","4256.833mil","2099.095mil","4256.833mil","2099.095mil","T","90.00","PHOENIX 1844236"
"J2","CONN_PHOENIX_1844210-2","4256.833mil","-122.007mil","4256.833mil","-190.905mil","4256.833mil","-190.905mil","T","90.00","PHOENIX 1844210"
"D5","TRANSORB_1","3979.833mil","-172.905mil","3979.833mil","-251.905mil","3979.833mil","-251.905mil","T","90.00","P0300SARP"
"K2","RELAY44","2014.333mil","2455.8mil","1664.333mil","2305.8mil","1664.333mil","2305.8mil","T","0.00","OMR_G5V_2"
"K1","RELAY44","2824.333mil","2455.8mil","2474.333mil","2305.8mil","2474.333mil","2305.8mil","T","0.00","OMR_G5V_2"
"Q2","SOT23","1486.833mil","2570.8mil","1449.333mil","2530.8mil","1449.333mil","2530.8mil","T","360.00","NUD3112"
"Q1","SOT23","1486.833mil","2395.8mil","1449.333mil","2355.8mil","1449.333mil","2355.8mil","T","0.00","NUD3112"
"U6","SOT223_REG","2969.833mil","-90.2mil","3059.833mil","12.3mil","3059.833mil","12.3mil","T","180.00","NCP1117-ST50T3"
"U5","SOT223_REG","2529.833mil","1024.8mil","2439.833mil","922.3mil","2439.833mil","922.3mil","T","360.00","NCP1117-ST50T3"
"U2","SOT223_REG","3084.833mil","1132.3mil","3187.333mil","1042.3mil","3187.333mil","1042.3mil","T","90.00","NCP1086-33T3"
"U19","SO14","3689.833mil","1867.3mil","3579.376mil","2017.3mil","3579.833mil","2017.3mil","T","0.00","LM339A"
"U18","SO14","3089.833mil","1867.3mil","2979.376mil","2017.3mil","2979.833mil","2017.3mil","T","0.00","LM339A"
"U1","SO14","2605.333mil","1497.3mil","2494.876mil","1647.3mil","2495.333mil","1647.3mil","T","0.00","LM339"
"J6","HDR5","864.833mil","1527.3mil","1064.833mil","1527.3mil","1064.833mil","1527.3mil","T","180.00","HDR5"
"J3","HDR5","1619.833mil","1517.3mil","1819.833mil","1517.3mil","1819.833mil","1517.3mil","T","180.00","HDR5"
"D8","LED_TH","-475.167mil","852.3mil","-475.167mil","852.3mil","-475.167mil","802.3mil","T","270.00","GLED"
"FB23","0603","3934.833mil","1813.095mil","3964.833mil","1813.095mil","3964.833mil","1813.095mil","T","180.00","FB"
"FB22","0603","3934.833mil","1693.095mil","3964.833mil","1693.095mil","3964.833mil","1693.095mil","T","180.00","FB"
