"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R112","0603","-51mil","253mil","-51mil","223mil","-51mil","223mil","T","90.00","0"
"R52","POT_PANA_EVN5","717.913mil","1285.11mil","719.882mil","1285.11mil","656.89mil","1324.48mil","T","270.00","5K POT"
"TP5","TESTPOINT","249mil","520.63mil","249mil","520.63mil","249mil","520.63mil","T","180.00","TP"
"TP3","TESTPOINT","789.882mil","1025.11mil","789.882mil","1025.11mil","789.882mil","1025.11mil","T","180.00","TP"
"TP2","TESTPOINT","64.882mil","1370.11mil","64.882mil","1370.11mil","64.882mil","1370.11mil","T","180.00","TP"
"TP1","TESTPOINT","-275.118mil","1905.11mil","-275.118mil","1905.11mil","-275.118mil","1905.11mil","T","180.00","TP"
"U1","SOT343","167.701mil","1187.11mil","167.701mil","1187.11mil","187.386mil","1143.803mil","T","360.00","BGA2001"
"U3","SOT25","93.701mil","546.61mil","43.701mil","584.11mil","43.701mil","584.11mil","T","360.00","TLV1391"
"R11","POT_PANA_EVN5","-90.299mil","617.079mil","-90.299mil","615.11mil","-50.929mil","678.102mil","T","180.00","5K POT"
"Q5","SOT23_TRANS","-704.78mil","2176.279mil","-744.78mil","2213.779mil","-744.78mil","2138.779mil","T","270.00","BFR193"
"L3","0805","574.882mil","1457.11mil","574.882mil","1412.11mil","574.882mil","1412.11mil","T","90.00","6.8 uH"
"U2","SSOP20","31.78mil","1606.268mil","161.701mil","1491.11mil","161.701mil","1491.11mil","T","90.00","SA636DK"
"Y4","RESONATOR2","-837.709mil","2367.102mil","-837.709mil","2367.102mil","-887.709mil","2317.102mil","T","90.00","433.92_Resonator"
"Q2","SOT23_TRANS","-645.78mil","2375.279mil","-605.78mil","2337.779mil","-685.78mil","2375.779mil","T","90.00","2N3906"
"FB2","0603","-709mil","681.63mil","-709mil","711.63mil","-709mil","711.63mil","T","270.00","FB"
"R17","0603","679.882mil","1015.11mil","649.882mil","1015.11mil","649.882mil","1015.11mil","T","360.00","220 K"
"Y3","RESONATOR","729.232mil","1747.504mil","732.701mil","1746.433mil","647.701mil","1795.433mil","T","90.00","905.8_Resonator"
"R42","0603","-283.299mil","663.11mil","-313.299mil","663.11mil","-313.299mil","663.11mil","T","360.00","4.7K"
"Q4","SOT23_TRANS","-306.028mil","2124.023mil","-343.528mil","2084.023mil","-305.528mil","2164.023mil","T","360.00","BFR193"
"Q10","SOT23_TRANS","-45.957mil","2119.031mil","-83.457mil","2079.031mil","-45.457mil","2159.031mil","T","360.00","2N3904"
"U5","SO8_SMALL","208.551mil","2417.244mil","115.126mil","2455.63mil","115.126mil","2455.63mil","T","270.00","DS1804"
"U6","SO8","198.126mil","2219.63mil","88.126mil","2294.63mil","88.126mil","2294.63mil","T","360.00","AT-113"
"C37","0603","608mil","2061.63mil","638mil","2061.63mil","638mil","2061.63mil","T","180.00","47 pF"
"R54","0603","124.882mil","1920.11mil","94.882mil","1920.11mil","94.882mil","1920.11mil","T","360.00","8.2K"
"L18","0603","124.882mil","1855.11mil","154.882mil","1855.11mil","154.882mil","1855.11mil","T","180.00","5.6uH"
"C61","0603","-9mil","1962.63mil","21mil","1962.63mil","21mil","1962.63mil","T","180.00",".1uF"
"C49","0603","124.882mil","1985.11mil","154.882mil","1985.11mil","154.882mil","1985.11mil","T","180.00","39pF"
"C24","0603","124.882mil","1790.11mil","154.882mil","1790.11mil","154.882mil","1790.11mil","T","180.00","1pF"
"U7","TO6","-419.299mil","1335.61mil","-369.299mil","1298.11mil","-369.299mil","1373.11mil","T","180.00","UPG52TA"
"J4","50_OHM_ANT","638mil","2270.63mil","638mil","2270.63mil","638mil","2270.63mil","T","270.00","SMA ANT"
"J3","50_OHM_ANT","-695.299mil","1487.434mil","-695.299mil","1487.434mil","-695.299mil","1487.434mil","T","90.00","SMA ANT"
"Q6","3_PIN_ULTRA_SUPER_MINI_MOLD","-494.52mil","1152.575mil","-474.835mil","1126.984mil","-474.835mil","1126.984mil","T","90.00","NE85619"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","369.386mil","1638.52mil","349.701mil","1664.11mil","369.386mil","1612.929mil","T","270.00","NE85619"
"U8","SOT25","747.701mil","793.61mil","697.701mil","831.11mil","697.701mil","831.11mil","T","360.00","LMV821"
"U4","SOT25","139.701mil","741.61mil","89.701mil","779.11mil","89.701mil","779.11mil","T","360.00","LMV821"
"U9","SO8_SMALL","-247.913mil","913.535mil","-286.299mil","820.11mil","-286.299mil","820.11mil","T","360.00","LMC555"
"FB3","0603","776mil","616.63mil","806mil","616.63mil","806mil","616.63mil","T","180.00","FB"
"FB1","0603","371mil","519.63mil","341mil","519.63mil","341mil","519.63mil","T","360.00","FB"
"J2","1X10_HEADER","0mil","416.63mil","-450mil","416.63mil","-450mil","416.63mil","T","0.00","CON10"
"D3","DIODE_SC79","-86mil","1210.63mil","-86mil","1210.63mil","-86mil","1181.63mil","T","270.00","BAR 65"
"R6","0603","594.882mil","1115.11mil","594.882mil","1145.11mil","594.882mil","1145.11mil","T","270.00","10K"
"L6","0603","488.701mil","1786.732mil","488.701mil","1756.732mil","488.701mil","1756.732mil","T","90.00","???"
"Y6","RESONATOR2","-720mil","972.63mil","-720mil","972.63mil","-670mil","922.63mil","T","180.00","916.5_Resonator"
"Y5","RESONATOR2","-265.827mil","1155.094mil","-265.827mil","1155.094mil","-215.827mil","1105.094mil","T","180.00","916.5_MHz Saw Filter"
