"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J2","1X5_HEADER","1574.323mil","1310mil","1574.323mil","1310mil","1774.323mil","1310mil","T","180.00","4pin Connector"
"DS2","LCE-358RP","1245mil","905mil","1245mil","905mil","1245mil","845mil","T","180.00","LED"
"U7","SOT23W","1407.598mil","897.756mil","1445mil","945mil","1445mil","945mil","T","180.00","TLE4913"
"U5","SOT23-5A","448.5mil","1241mil","411mil","1191mil","411mil","1191mil","T","90.00","TC1070-2"
"U1","SSOP20_WIDE","672.842mil","1132.457mil","788mil","1286mil","788mil","1286mil","T","180.00","PIC16F690"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","256.685mil","999.409mil","237mil","1025mil","237mil","1025mil","T","270.00","NE85619"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","240.685mil","507.41mil","221mil","533mil","240.685mil","481.819mil","T","270.00","NE85619"
"U2","SC70","799mil","861mil","799mil","861mil","824.591mil","904.307mil","T","180.00","MIC861"
"U6","SC70","1026mil","861mil","1026mil","861mil","1051.591mil","904.307mil","T","180.00","MAX9117"
"DS1","404-1032-2-ND","1540.146mil","907mil","1540.146mil","907mil","1540.146mil","842.039mil","T","270.00","LED"
"Q4","SOT23_FET","1369mil","399.5mil","1329mil","437mil","1409mil","399mil","T","270.00","FDN327N"
"U3","SO8_SMALL","872.614mil","560.575mil","911mil","654mil","911mil","654mil","T","180.00","DS1631"
"C23","0603","94mil","855mil","64mil","855mil","64mil","855mil","T","0.00","DNS"
"C22","0603","94mil","805mil","64mil","805mil","64mil","805mil","T","0.00","DNS"
"R24","0603","910mil","815mil","880mil","815mil","880mil","815mil","T","360.00","100K"
"R19","0603","910mil","885mil","880mil","885mil","880mil","885mil","T","360.00","2K"
"Y1","RESONATOR","472.071mil","693.468mil","471mil","690mil","520mil","775mil","T","0.00","916.5 MHz"
"R16","0603","505mil","850mil","535mil","850mil","535mil","850mil","T","180.00","3K"
"R11","0603","186mil","741mil","186mil","711mil","186mil","711mil","T","90.00","68"
"R7","0603","261mil","736mil","261mil","706mil","261mil","706mil","T","90.00","6.8K"
"R14","0603","311mil","1281mil","281mil","1281mil","281mil","1281mil","T","0.00","470"
"C19","0603","185mil","621mil","185mil","591mil","185mil","591mil","T","90.00","2.7pF"
"R8","0603","330mil","631mil","330mil","601mil","330mil","601mil","T","90.00","4.7K"
"R5","0603","940mil","735mil","970mil","735mil","970mil","735mil","T","180.00","39k"
"R4","0603","610mil","1360mil","580mil","1360mil","580mil","1360mil","T","360.00","39k"
"R3","0603","751mil","1361mil","721mil","1361mil","721mil","1361mil","T","0.00","39k"
"R15","0603","946mil","1071mil","976mil","1071mil","976mil","1071mil","T","180.00","39K"
