"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"WEB1_3","3HOLE-WEB70MIL","-102mil","2232.001mil","-67mil","2232.001mil","-72mil","2200.001mil","T","90.00","Comment"
"WEB2_3","3HOLE-WEB70MIL","-102mil","2821.001mil","-67mil","2821.001mil","-72mil","2789.001mil","T","90.00","Comment"
"WEB2_1_4","3HOLE-WEB70MIL","1046mil","2821.001mil","1081mil","2821.001mil","1076mil","2789.001mil","T","90.00","Comment"
"WEB1_1_4","3HOLE-WEB70MIL","1046mil","2232.001mil","1081mil","2232.001mil","1076mil","2200.001mil","T","90.00","Comment"
"WEB1_1_1_2","3HOLE-WEB70MIL","2194mil","2232.001mil","2229mil","2232.001mil","2224mil","2200.001mil","T","90.00","Comment"
"WEB2_1_1_2","3HOLE-WEB70MIL","2194mil","2821.001mil","2229mil","2821.001mil","2224mil","2789.001mil","T","90.00","Comment"
"WEB1_1_2_2","3HOLE-WEB70MIL","3342mil","2232.001mil","3377mil","2232.001mil","3372mil","2200.001mil","T","90.00","Comment"
"WEB2_1_2_2","3HOLE-WEB70MIL","3342mil","2821.001mil","3377mil","2821.001mil","3372mil","2789.001mil","T","90.00","Comment"
"WEB1_2","3HOLE-WEB70MIL","-102mil","1173.001mil","-67mil","1173.001mil","-72mil","1141.001mil","T","90.00","Comment"
"WEB2_2","3HOLE-WEB70MIL","-102mil","1762.001mil","-67mil","1762.001mil","-72mil","1730.001mil","T","90.00","Comment"
"WEB2_1_3","3HOLE-WEB70MIL","1046mil","1762.001mil","1081mil","1762.001mil","1076mil","1730.001mil","T","90.00","Comment"
"WEB1_1_3","3HOLE-WEB70MIL","1046mil","1173.001mil","1081mil","1173.001mil","1076mil","1141.001mil","T","90.00","Comment"
"WEB1_1_1_1","3HOLE-WEB70MIL","2194mil","1173.001mil","2229mil","1173.001mil","2224mil","1141.001mil","T","90.00","Comment"
"WEB2_1_1_1","3HOLE-WEB70MIL","2194mil","1762.001mil","2229mil","1762.001mil","2224mil","1730.001mil","T","90.00","Comment"
"WEB1_1_2_1","3HOLE-WEB70MIL","3342mil","1173.001mil","3377mil","1173.001mil","3372mil","1141.001mil","T","90.00","Comment"
"WEB2_1_2_1","3HOLE-WEB70MIL","3342mil","1762.001mil","3377mil","1762.001mil","3372mil","1730.001mil","T","90.00","Comment"
"WEB2_1_2","3HOLE-WEB70MIL","3342mil","703.001mil","3377mil","703.001mil","3372mil","671.001mil","T","90.00","Comment"
"WEB1_1_2","3HOLE-WEB70MIL","3342mil","114.001mil","3377mil","114.001mil","3372mil","82.001mil","T","90.00","Comment"
"WEB2_1_1","3HOLE-WEB70MIL","2194mil","703.001mil","2229mil","703.001mil","2224mil","671.001mil","T","90.00","Comment"
"WEB1_1_1","3HOLE-WEB70MIL","2194mil","114.001mil","2229mil","114.001mil","2224mil","82.001mil","T","90.00","Comment"
"WEB1_1","3HOLE-WEB70MIL","1046mil","114.001mil","1081mil","114.001mil","1076mil","82.001mil","T","90.00","Comment"
"WEB2_1","3HOLE-WEB70MIL","1046mil","703.001mil","1081mil","703.001mil","1076mil","671.001mil","T","90.00","Comment"
"WEB2","3HOLE-WEB70MIL","-102mil","703.001mil","-67mil","703.001mil","-72mil","671.001mil","T","90.00","Comment"
"WEB1","3HOLE-WEB70MIL","-102mil","114.001mil","-67mil","114.001mil","-72mil","82.001mil","T","90.00","Comment"
"R9","0603","965mil","690mil","965mil","660mil","965mil","660mil","T","90.00","39K"
"J1","CONN5","829mil","869mil","729mil","869mil","729mil","869mil","T","360.00","1X5 HEADER"
"C20","0603","370mil","585mil","340mil","585mil","340mil","585mil","T","360.00","15pF"
"C17","0603","340mil","495mil","340mil","465mil","340mil","465mil","T","90.00",".01uF"
"C11","0603","430mil","405mil","400mil","405mil","400mil","405mil","T","360.00",".1uF"
"C15","0603","255mil","235mil","255mil","265mil","255mil","265mil","T","270.00","0.1 uF"
"C18","0603","884.866mil","22mil","884.866mil","-8mil","884.866mil","-8mil","T","90.00","0.1 uF"
"C24","0603","115mil","780mil","145mil","780mil","145mil","780mil","T","180.00","0.1 uF"
"L3","0603","35mil","115.937mil","35mil","145.937mil","35mil","145.937mil","T","270.00","0.18uH"
"L6","0603","266mil","504mil","266mil","474mil","266mil","474mil","T","90.00","0.33uH"
"R2","0603","340mil","377mil","340mil","407mil","340mil","407mil","T","270.00","1 M"
"R17","0603","236mil","702mil","266mil","702mil","266mil","702mil","T","180.00","2K"
"R12","0603","153mil","676mil","153mil","646mil","153mil","646mil","T","90.00","10"
"R13","0603","23mil","501mil","23mil","531mil","23mil","531mil","T","270.00","10"
"C6","0603","48mil","223mil","48mil","193mil","48mil","193mil","T","90.00","100 pF"
"C7","0603","236mil","644mil","266mil","644mil","266mil","644mil","T","180.00","100 pF"
"C8","0603","285mil","30mil","255mil","30mil","255mil","30mil","T","360.00","1000 pF"
"C9","0603","23mil","621mil","23mil","651mil","23mil","651mil","T","270.00","1000 pF"
"C10","0603","236mil","584mil","206mil","584mil","206mil","584mil","T","0.00","1000 pF"
"C4","0603","940mil","600mil","970mil","600mil","970mil","600mil","T","180.00","10pF"
"C26","0603","900mil","690mil","900mil","660mil","900mil","660mil","T","90.00","15pF"
"C27","0603","819mil","799mil","789mil","799mil","789mil","799mil","T","360.00","15pF"
"R18","0603","610mil","305mil","640mil","305mil","640mil","305mil","T","180.00","1K"
"C2","0603","115mil","0mil","115mil","-30mil","115mil","-30mil","T","90.00","2 PF"
"C3","0603","83mil","501mil","83mil","471mil","83mil","471mil","T","90.00","2 pF"
"C21","0603","18mil","403mil","-12mil","403mil","-12mil","403mil","T","0.00","1.5pF"
"R6","0603","444.41mil","-4.41mil","444.41mil","-34.41mil","444.41mil","-34.41mil","T","90.00","22"
"R21","0603","610mil","355mil","640mil","355mil","640mil","355mil","T","180.00","220K"
"C14","0603","520mil","365mil","520mil","395mil","520mil","395mil","T","270.00","100pF"
"U4","SO8","627mil","104mil","552mil","-6mil","552mil","-6mil","T","90.00","24aa256"
"Q3","SOT23_FET","242.5mil","367mil","280mil","407mil","242mil","327mil","T","180.00","2N7002"
"L2","0603","285mil","-30mil","315mil","-30mil","315mil","-30mil","T","180.00","10nH"
"R23","0603","819mil","579mil","789mil","579mil","789mil","579mil","T","360.00","300K"
"Y2","CRYSTAL_ABRACON_ABS07","809mil","694mil","809mil","694mil","809mil","646.756mil","T","90.00","32.768KHZ CRYSTAL"
"C12","0603","370mil","-4.41mil","370mil","-34.41mil","370mil","-34.41mil","T","90.00","33 pF"
"C13","0603","134mil","587mil","104mil","587mil","104mil","587mil","T","360.00","33 pF"
"R20","0603","400mil","495mil","400mil","525mil","400mil","525mil","T","270.00","2.7K"
"R1","0603","819mil","489mil","789mil","489mil","789mil","489mil","T","360.00","39K"
"R10","0603","185mil","124mil","185mil","154mil","185mil","154mil","T","270.00","39K"
"R15","0603","614mil","414mil","644mil","414mil","644mil","414mil","T","180.00","39K"
"R3","0603","939mil","534mil","909mil","534mil","909mil","534mil","T","360.00","39K"
"R4","0603","609mil","864mil","639mil","864mil","639mil","864mil","T","180.00","39K"
"R5","0603","879mil","224mil","909mil","224mil","909mil","224mil","T","180.00","39K"
"R8","0603","254mil","130mil","254mil","100mil","254mil","100mil","T","90.00","4.7 K"
"C19","0603","109mil","120mil","109mil","90mil","109mil","90mil","T","90.00","2.7 pF"
"R14","0603","235mil","780mil","205mil","780mil","205mil","780mil","T","0.00","470"
"R7","0603","185mil","235mil","185mil","205mil","185mil","205mil","T","90.00","6.8K"
"R11","0603","110mil","240mil","110mil","210mil","110mil","210mil","T","90.00","68"
"R16","0603","430mil","350mil","460mil","350mil","460mil","350mil","T","180.00","22K"
"Y1","RESONATOR","396.071mil","192.469mil","395mil","189mil","444mil","274mil","T","0.00","916.5_Resonator"
"R19","0603","834mil","384mil","804mil","384mil","804mil","384mil","T","360.00","2K"
"R24","0603","834mil","314mil","804mil","314mil","804mil","314mil","T","360.00","100K"
"C22","0603","18mil","304mil","-12mil","304mil","-12mil","304mil","T","0.00","DNS"
"C23","0603","18mil","354mil","-12mil","354mil","-12mil","354mil","T","0.00","DNS"
"U3","SO8_SMALL","796.614mil","59.575mil","835mil","153mil","835mil","153mil","T","180.00","DS1631"
"U6","SC70","950mil","360mil","950mil","360mil","975.591mil","403.307mil","T","180.00","MAX9119EXK+"
"U2","SC70","723mil","360mil","723mil","360mil","748.591mil","403.307mil","T","180.00","MIC861"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","184.685mil","4.409mil","165mil","30mil","165mil","30mil","T","270.00","NE85619"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","180.685mil","498.409mil","161mil","524mil","161mil","524mil","T","270.00","NE85619"
"U1","SSOP20_WIDE","596.842mil","631.457mil","712mil","785mil","712mil","785mil","T","180.00","PIC16F690"
"U5","SOT23-5A","372.5mil","740mil","335mil","690mil","335mil","690mil","T","90.00","TC1070"
"R26","0603","939mil","474mil","969mil","474mil","969mil","474mil","T","180.00","4.7M"
"L1","0603","60mil","0mil","60mil","30mil","60mil","30mil","T","270.00","2.7nH"
"E2","Antenna1","0mil","0mil","0mil","0mil","0mil","0mil","T","0.00","#NAME?"
"E3","Antenna1","22mil","774mil","22mil","774mil","22mil","774mil","T","0.00","#NAME?"
"EH2","EH_D0500P1000","449mil","864mil","449mil","864mil","449mil","864mil","T","90.00","#NAME?"
"EH1","EH_D0500P1000","509mil","864mil","509mil","864mil","509mil","864mil","T","0.00","#NAME?"
"B1","BATT_HOLDER1","484.157mil","369mil","494mil","369mil","60.929mil","369mil","B","270.00","BATT HOLDER COIN CR2032 CUT"
"R9","0603","965mil","1749mil","965mil","1719mil","965mil","1719mil","T","90.00","39K"
"J1","CONN5","829mil","1928mil","729mil","1928mil","729mil","1928mil","T","360.00","1X5 HEADER"
"C20","0603","370mil","1644mil","340mil","1644mil","340mil","1644mil","T","360.00","15pF"
"C17","0603","340mil","1554mil","340mil","1524mil","340mil","1524mil","T","90.00",".01uF"
"C11","0603","430mil","1464mil","400mil","1464mil","400mil","1464mil","T","360.00",".1uF"
