"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R28","0603","635mil","1520mil","635mil","1490mil","635mil","1490mil","T","90.00","5.6K"
"R5","0603","635mil","1280mil","635mil","1250mil","635mil","1250mil","T","90.00","3.3K"
"C54","0603","635mil","1400mil","635mil","1370mil","635mil","1370mil","T","90.00",".1uF"
"C9","0603","1835mil","617.181mil","1835mil","587.181mil","1835mil","587.181mil","T","90.00","5 pF"
"TP6","TESTPOINT","2270mil","470mil","2270mil","470mil","2270mil","470mil","T","90.00","GND"
"TP4","TESTPOINT","2270mil","575mil","2270mil","575mil","2270mil","575mil","T","90.00","TP"
"C62","0603","2205mil","625mil","2205mil","595mil","2205mil","595mil","T","90.00",".1uF"
"R56","0603","510mil","1580mil","540mil","1580mil","540mil","1580mil","T","180.00","50"
"R55","0603","535mil","1475mil","535mil","1505mil","535mil","1505mil","T","270.00","1K"
"L19","0603","510mil","1650mil","540mil","1650mil","540mil","1650mil","T","180.00","18nh"
"C41","0603","1427.874mil","1710.717mil","1427.874mil","1740.717mil","1427.874mil","1740.717mil","T","270.00",".001uF"
"C2","0603","1720mil","708.181mil","1720mil","678.181mil","1720mil","678.181mil","T","90.00",".1uF"
"C4","0603","1784mil","617.181mil","1784mil","587.181mil","1784mil","587.181mil","T","90.00",".1uF"
"C5","0603","1715mil","957.181mil","1715mil","927.181mil","1715mil","927.181mil","T","90.00",".1uF"
"C7","0603","1912.055mil","1088.181mil","1912.055mil","1058.181mil","1912.055mil","1058.181mil","T","90.00",".1uF"
"C8","0603","1078mil","972.181mil","1078mil","942.181mil","1078mil","942.181mil","T","90.00",".1uF"
"C13","0603","1552mil","941.181mil","1552mil","911.181mil","1552mil","911.181mil","T","90.00",".1uF"
"C14","0603","1972.055mil","1088.181mil","1972.055mil","1058.181mil","1972.055mil","1058.181mil","T","90.00",".1uF"
"C17","0603","2032.055mil","1088.181mil","2032.055mil","1058.181mil","2032.055mil","1058.181mil","T","90.00",".1uF"
"C18","0603","1719.362mil","201.543mil","1689.362mil","201.543mil","1689.362mil","201.543mil","T","360.00",".1uF"
"C22","0603","2223.323mil","154.181mil","2223.323mil","184.181mil","2223.323mil","184.181mil","T","270.00",".1uF"
"C26","0603","216.323mil","823.181mil","216.323mil","793.181mil","216.323mil","793.181mil","T","90.00",".1uF"
"C48","0603","1157mil","1001.181mil","1157mil","1031.181mil","1157mil","1031.181mil","T","270.00",".1uF"
"C50","0603","1496mil","873.181mil","1496mil","843.181mil","1496mil","843.181mil","T","90.00",".1uF"
"C51","0603","1428mil","534.181mil","1428mil","564.181mil","1428mil","564.181mil","T","270.00",".1uF"
"C20","0603","1942mil","611.181mil","1912mil","611.181mil","1912mil","611.181mil","T","0.00",".5 pF"
"C16","0603","1540mil","534.181mil","1540mil","564.181mil","1540mil","564.181mil","T","270.00","0.001uF"
"L14","0603","1312.874mil","1303.717mil","1282.874mil","1303.717mil","1282.874mil","1303.717mil","T","360.00","0.18uH"
"C15","0603","1578mil","413.181mil","1578mil","443.181mil","1578mil","443.181mil","T","270.00","0.22"
"C56","0603","510mil","1720mil","540mil","1720mil","540mil","1720mil","T","180.00","3 pF"
"R16","0603","1190mil","355mil","1190mil","325mil","1190mil","325mil","T","90.00","10"
"C30","0603","376.323mil","853.181mil","406.323mil","853.181mil","406.323mil","853.181mil","T","180.00","10 pF"
"Y1","FILTER2","1774.89mil","1153.614mil","1824.103mil","1098.496mil","1824.103mil","1098.496mil","T","90.00","10.7 Mhz Filter"
"Y2","FILTER2","2129.166mil","933.717mil","2074.047mil","884.504mil","2074.047mil","884.504mil","T","360.00","10.7 Mhz Filter"
"L8","0603","417.323mil","460.181mil","447.323mil","460.181mil","447.323mil","460.181mil","T","180.00","100 nH"
"L11","0603","542.323mil","228.181mil","542.323mil","258.181mil","542.323mil","258.181mil","T","270.00","100 nH"
"C21","0603","2033.228mil","334.929mil","2003.228mil","334.929mil","2003.228mil","334.929mil","T","0.00","100 pF"
"C27","0603","524.323mil","482.181mil","524.323mil","452.181mil","524.323mil","452.181mil","T","90.00","100 pF"
"C32","0603","438mil","246.181mil","408mil","246.181mil","408mil","246.181mil","T","360.00","100 pF"
"C34","0603","599.323mil","848.181mil","569.323mil","848.181mil","569.323mil","848.181mil","T","0.00","100 pF"
"C36","0603","603.323mil","168.181mil","603.323mil","198.181mil","603.323mil","198.181mil","T","270.00","100 pF"
"C38","0603","1442mil","940.181mil","1442mil","970.181mil","1442mil","970.181mil","T","270.00","100 pF"
"C39","0603","1661mil","1154mil","1661mil","1184mil","1661mil","1184mil","T","270.00","100 pF"
"C44","0603","1312.874mil","1457.717mil","1342.874mil","1457.717mil","1342.874mil","1457.717mil","T","180.00","100 pF"
"C47","0603","1192.874mil","1303.717mil","1162.874mil","1303.717mil","1162.874mil","1303.717mil","T","360.00","100 pF"
"C59","0603","1563.323mil","1495.181mil","1563.323mil","1525.181mil","1563.323mil","1525.181mil","T","270.00","100 pF"
"C58","0603","2075mil","640mil","2105mil","640mil","2105mil","640mil","T","180.00","1000pF"
"R10","0603","930mil","836.181mil","930mil","866.181mil","930mil","866.181mil","T","270.00","220K"
"R31","0603","101.323mil","338.181mil","101.323mil","308.181mil","101.323mil","308.181mil","T","90.00","100K"
"C6","0603","1698mil","625.181mil","1668mil","625.181mil","1668mil","625.181mil","T","360.00","100 pF"
"R12","0603","1019mil","861.181mil","989mil","861.181mil","989mil","861.181mil","T","0.00","10K"
"R38","0603","1281mil","1242.181mil","1311mil","1242.181mil","1311mil","1242.181mil","T","180.00","10K"
"R41","0603","912mil","1414.181mil","882mil","1414.181mil","882mil","1414.181mil","T","360.00","10K"
"R49","0603","1040mil","305mil","1040mil","275mil","1040mil","275mil","T","90.00","10K"
"C10","CAP_A_CASE","1279mil","831.181mil","1214mil","831.181mil","1214mil","831.181mil","T","360.00","10uF"
"C12","CAP_A_CASE","1632mil","973.181mil","1632mil","908.181mil","1632mil","908.181mil","T","90.00","10uF"
"C25","CAP_A_CASE","1210mil","165mil","1210mil","230mil","1210mil","230mil","T","270.00","10uF"
"C52","CAP_A_CASE","1773mil","92.181mil","1838mil","92.181mil","1838mil","92.181mil","T","180.00","10uF"
"C53","CAP_A_CASE","1108.874mil","1630.717mil","1108.874mil","1565.717mil","1108.874mil","1565.717mil","T","90.00","10uF"
"R9","0603","1372mil","534.181mil","1372mil","564.181mil","1372mil","564.181mil","T","270.00","150K"
"R47","0603","857.677mil","1096.252mil","887.677mil","1096.252mil","887.677mil","1096.252mil","T","180.00","1K"
"L2","0603","1475mil","624.181mil","1505mil","624.181mil","1505mil","624.181mil","T","180.00","8.2nH"
"R29","0603","513mil","126.181mil","543mil","126.181mil","543mil","126.181mil","T","180.00","180"
"R8","0603","1128mil","841.181mil","1128mil","871.181mil","1128mil","871.181mil","T","270.00","1K"
"R18","0603","2075mil","580mil","2105mil","580mil","2105mil","580mil","T","180.00","1K"
"R26","0603","629.323mil","758.181mil","629.323mil","728.181mil","629.323mil","728.181mil","T","90.00","1K"
"R37","0603","1120mil","305mil","1120mil","335mil","1120mil","335mil","T","270.00","1K"
"R48","0603","629.315mil","1000.252mil","629.315mil","970.252mil","629.315mil","970.252mil","T","90.00","1K"
"D1","SOT23_DIODE","1307.5mil","390mil","1345mil","430mil","1270mil","430mil","T","180.00","1N914"
"D2","SOT23_DIODE","1409.5mil","170mil","1372mil","130mil","1447mil","130mil","T","360.00","1N914"
"C33","0603","542.323mil","348.181mil","542.323mil","318.181mil","542.323mil","318.181mil","T","90.00","2 pF"
"L4","COIL_TKS5540CT-ND","1718.984mil","446.709mil","1718.984mil","446.709mil","1718.984mil","396.709mil","T","360.00","2.2 mH"
"R21","0603","283.323mil","533.181mil","283.323mil","563.181mil","283.323mil","563.181mil","T","270.00","2.2K"
"R46","0603","1382.013mil","940.181mil","1382.013mil","910.181mil","1382.013mil","910.181mil","T","90.00","2.2K"
"R3","0603","1028mil","972.181mil","1028mil","942.181mil","1028mil","942.181mil","T","90.00","22"
"R20","0603","417.323mil","520.181mil","387.323mil","520.181mil","387.323mil","520.181mil","T","0.00","22"
"R33","0603","1487.874mil","1710.717mil","1487.874mil","1680.717mil","1487.874mil","1680.717mil","T","90.00","22"
"R43","0603","1356.874mil","1758.717mil","1326.874mil","1758.717mil","1326.874mil","1758.717mil","T","360.00","22"
"L12","0603","236mil","942.252mil","236mil","912.252mil","236mil","912.252mil","T","90.00","22nH"
"C1","0603","1616mil","708.181mil","1616mil","738.181mil","1616mil","738.181mil","T","270.00","27 pF"
"R53","0603","635mil","1160mil","635mil","1130mil","635mil","1130mil","T","90.00","10K"
"Q3","SOT23_TRANS","296.823mil","659.181mil","334.323mil","699.181mil","296.323mil","619.181mil","T","180.00","2N3904"
"Q7","SOT23_TRANS","1052.874mil","1306.217mil","1012.874mil","1343.717mil","1092.874mil","1305.717mil","T","270.00","2N3904"
"Q8","SOT23_TRANS","902mil","1306.681mil","942mil","1269.181mil","862mil","1307.181mil","T","90.00","2N3904"
"Q11","SOT23_TRANS","1267mil","983.681mil","1307mil","946.181mil","1307mil","1021.181mil","T","90.00","2N3906"
"C43","0603","1432.874mil","1303.717mil","1462.874mil","1303.717mil","1462.874mil","1303.717mil","T","180.00","3 pF"
"C45","0603","236mil","1043.252mil","236mil","1013.252mil","236mil","1013.252mil","T","90.00","3 pF"
"R25","0603","438mil","185.858mil","468mil","185.858mil","468mil","185.858mil","T","180.00","3.3K"
"L16","0603","1563.858mil","1615mil","1563.858mil","1585mil","1563.858mil","1585mil","T","90.00","3.9nH"
"C11","0603","1037.874mil","1413.717mil","1007.874mil","1413.717mil","1007.874mil","1413.717mil","T","360.00","33 pF"
"C19","0603","1841.362mil","201.543mil","1811.362mil","201.543mil","1811.362mil","201.543mil","T","360.00","33 pF"
"C42","0603","1457.937mil","1620.654mil","1487.937mil","1620.654mil","1487.937mil","1620.654mil","T","180.00","33 pF"
"R2","0603","2092.055mil","1088.181mil","2092.055mil","1058.181mil","2092.055mil","1058.181mil","T","90.00","330"
"L7","0805","341.323mil","778.181mil","296.323mil","778.181mil","296.323mil","778.181mil","T","0.00","330 nH"
"R15","0603","2191.323mil","396.181mil","2161.323mil","396.181mil","2161.323mil","396.181mil","T","0.00","39K"
"R36","0603","1192.874mil","1407.717mil","1222.874mil","1407.717mil","1222.874mil","1407.717mil","T","180.00","39K"
"C28","0603","376.323mil","1033.181mil","406.323mil","1033.181mil","406.323mil","1033.181mil","T","180.00","4 pF"
"R14","0603","2040.622mil","456.181mil","2010.622mil","456.181mil","2010.622mil","456.181mil","T","360.00","4.7K"
"R19","0603","214.323mil","533.181mil","214.323mil","503.181mil","214.323mil","503.181mil","T","90.00","4.7K"
"R22","0603","404.323mil","610.181mil","404.323mil","640.181mil","404.323mil","640.181mil","T","270.00","4.7K"
"R35","0603","1312.874mil","1407.717mil","1342.874mil","1407.717mil","1342.874mil","1407.717mil","T","180.00","4.7K"
"R40","0603","1037.874mil","1473.717mil","1067.874mil","1473.717mil","1067.874mil","1473.717mil","T","180.00","4.7K"
"R51","0603","1008mil","1168.181mil","1008mil","1198.181mil","1008mil","1198.181mil","T","270.00","4.7K"
"L1","0603","1667mil","708.181mil","1667mil","678.181mil","1667mil","678.181mil","T","90.00","4.7nH"
"L17","0603","1554mil","1154mil","1554mil","1124mil","1554mil","1124mil","T","90.00","4.7nH"
"L10","0603","584.323mil","602.181mil","584.323mil","572.181mil","584.323mil","572.181mil","T","90.00","47 nH"
"C29","0603","584.323mil","482.181mil","584.323mil","512.181mil","584.323mil","512.181mil","T","270.00","47 pF"
"C40","0603","1520mil","1333.181mil","1520mil","1303.181mil","1520mil","1303.181mil","T","90.00","47 pF"
"R4","0603","1484mil","534.181mil","1484mil","564.181mil","1484mil","564.181mil","T","270.00","470"
"R24","0603","494.323mil","632.181mil","464.323mil","632.181mil","464.323mil","632.181mil","T","0.00","2.7K"
"C23","0603","2075mil","520mil","2045mil","520mil","2045mil","520mil","T","0.00","4pF"
"C31","0603","376.323mil","973.181mil","346.323mil","973.181mil","346.323mil","973.181mil","T","0.00","5 PF"
"C3","0603","1565mil","708.181mil","1565mil","678.181mil","1565mil","678.181mil","T","90.00","5 pF"
"R1","0603","1552mil","828.181mil","1552mil","798.181mil","1552mil","798.181mil","T","90.00","56"
"R7","0603","1719.362mil","150.543mil","1749.362mil","150.543mil","1749.362mil","150.543mil","T","180.00","560"
"R27","0603","599.323mil","908.181mil","569.323mil","908.181mil","569.323mil","908.181mil","T","0.00","220"
"R50","0603","964mil","107.181mil","964mil","137.181mil","964mil","137.181mil","T","270.00","56K"
"C46","0603","1312.874mil","1355.717mil","1342.874mil","1355.717mil","1342.874mil","1355.717mil","T","180.00","6 pF"
"C60","0603","1606mil","1154mil","1606mil","1184mil","1606mil","1184mil","T","270.00","6.5 pF"
"L9","0603","376.323mil","913.181mil","406.323mil","913.181mil","406.323mil","913.181mil","T","180.00","6.8 nH"
"L15","0603","292mil","942.252mil","292mil","912.252mil","292mil","912.252mil","T","90.00","6.8 nH"
"R13","0603","2191.323mil","336.181mil","2221.323mil","336.181mil","2221.323mil","336.181mil","T","180.00","6.8K"
"R34","0603","1192.874mil","1457.717mil","1162.874mil","1457.717mil","1162.874mil","1457.717mil","T","360.00","6.8K"
"R23","0603","347mil","378.252mil","347mil","348.252mil","347mil","348.252mil","T","90.00","6.8k"
"R30","0603","499.323mil","877.181mil","499.323mil","907.181mil","499.323mil","907.181mil","T","270.00","10"
