"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Y1","CRYSTAL32K_3.2mmx1.5mm_040912","536mil","723mil","536mil","723mil","585.213mil","723mil","T","180.00","32.768K"
"C8","0603_072205","484mil","801mil","484mil","801mil","514mil","801mil","T","180.00","6.2 pF"
"C7","0603_072205","611mil","801mil","611mil","801mil","581mil","801mil","T","360.00","6.2  pF"
"FID1","FiducialTwoSide_020205","80mil","751mil","80mil","751mil","80mil","751mil","T","90.00","FIDUCIAL"
"TP3","TestPoint52x32","364mil","296mil","364mil","296mil","364mil","296mil","T","90.00","TESTPOINT"
"TP2","TestPoint52x32","415mil","240mil","415mil","240mil","415mil","240mil","T","90.00","TESTPOINT"
"U2","TSSOP08_022410","520mil","330mil","520mil","330mil","481.6mil","210mil","T","90.00","M24LR16E"
"U1","UFQFPN20ALT_041512","516mil","589mil","516mil","589mil","454.976mil","628.37mil","T","360.00","STM8L151F2"
"R6","0603_072205","659mil","350mil","659mil","350mil","659mil","320mil","T","90.00","3.9K"
"R5","0603_072205","719mil","350mil","719mil","350mil","719mil","320mil","T","90.00","3.9K"
"R3","0603_072205","365mil","390mil","365mil","390mil","365mil","420mil","T","270.00","10K"
"P1","1X4_HEADER_50mil_071411","354mil","705mil","354mil","630mil","354mil","630mil","T","90.00","1x4 50mil"
"L2","0603_072205","779mil","350mil","779mil","350mil","779mil","380mil","T","270.00","BEAD"
"L1","0603_072205","780mil","590mil","780mil","590mil","780mil","560mil","T","90.00","BEAD"
"C4","0603_072205","780mil","470mil","780mil","470mil","780mil","500mil","T","270.00","0.01uf"
"C3","0603_072205","688mil","253mil","688mil","253mil","658mil","253mil","T","360.00","0.01uf"
"C2","0603_072205","365mil","511mil","365mil","511mil","365mil","481mil","T","90.00","0.1uf"
"C1","0603_072205","716mil","635mil","716mil","635mil","716mil","605mil","T","90.00","0.01uf"
"C5","0603_072205","65mil","205mil","65mil","205mil","65mil","235mil","T","270.00","30 pF"
"C6","0603_072205","125mil","205mil","125mil","205mil","125mil","175mil","T","90.00","68 pF"
"P2","1X2_HEADER_50MIL_081611","775mil","754mil","775mil","779mil","775mil","779mil","T","270.00","Value"
"BT1","COINCELL2_040912","540mil","500mil","600mil","500mil","120mil","500mil","B","360.00","BATTERY"
"J2","MilMax0910Pad_040912","1017mil","135mil","1017mil","135mil","1017mil","135mil","B","180.00","POGOPIN"
"J1","MilMax0910Pad_040912","1017mil","875mil","1017mil","875mil","1017mil","875mil","B","180.00","POGOPIN"

